,Pedido,Ruta
0,Pedido 1,0 → 1 → 15 → 3 → 16 → 3 → 7 → 4 → 0
1,Pedido 2,0 → 29 → 20 → 21 → 17 → 12 → 10 → 8 → 14 → 3 → 0
2,Pedido 3,0 → 1 → 27 → 23 → 24 → 19 → 12 → 8 → 4 → 14 → 3 → 15 → 3 → 0
3,Pedido 4,0 → 1 → 2 → 20 → 4 → 14 → 3 → 24 → 4 → 8 → 4 → 0
4,Pedido 5,0 → 27 → 0
5,Pedido 6,0 → 1 → 23 → 4 → 19 → 20 → 4 → 0
6,Pedido 7,0 → 20 → 14 → 15 → 8 → 4 → 0
7,Pedido 8,0 → 14 → 24 → 0
8,Pedido 9,0 → 2 → 29 → 20 → 21 → 14 → 15 → 8 → 4 → 0
9,Pedido 10,0
10,Pedido 11,0 → 12 → 0
11,Pedido 12,0 → 2 → 29 → 20 → 14 → 8 → 4 → 24 → 0
12,Pedido 13,0 → 1 → 29 → 24 → 12 → 15 → 4 → 0
